Date;VIX Open;VIX High;VIX Low;VIX Close
06.08.22 00:00;34;102;136;68
06.08.22 01:00;34;102;136;68
06.08.22 02:00;54;162;216;108
06.08.22 03:00;23;69;92;46
06.08.22 04:00;33;99;132;66
06.08.22 05:00;8;24;32;16
06.08.22 06:00;6;18;24;12
06.08.22 07:00;5;15;20;10
06.08.22 08:00;4;12;16;8
06.08.22 09:00;8;24;32;16
06.08.22 10:00;6;18;24;12
06.08.22 11:00;5;15;20;10
06.08.22 12:00;4;12;16;8
06.08.22 13:00;8;24;32;16
06.08.22 14:00;6;18;24;12
06.08.22 15:00;5;15;20;10
06.08.22 16:00;4;12;16;8
06.08.22 17:00;6;18;24;12
06.08.22 18:00;5;15;20;10
06.08.22 19:00;4;12;16;8
06.08.22 20:00;6;18;24;12
06.08.22 21:00;5;15;20;10
06.08.22 22:00;4;12;16;8
06.08.22 23:00;6;18;24;12
07.08.22 00:00;5;15;20;10
07.08.22 01:00;4;12;16;8
07.08.22 02:00;6;18;24;12
07.08.22 03:00;5;15;20;10
07.08.22 04:00;4;12;16;8
07.08.22 05:00;8;24;32;16
07.08.22 06:00;6;18;24;12
07.08.22 07:00;5;15;20;10
07.08.22 08:00;4;12;16;8
